__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726772539.095173,95173300.000000000,1726772539.000000000,4.409104347,1.236918449,5.062218189,0.129311994,-0.066515006,0.073603004,,,,,,,,,,,,,,,
1726772539.100570,100570430.000000000,1726772539.000000000,4.440080643,1.810138226,4.416342735,0.148561016,-0.064903006,0.061852008,,,,,,,,,,,,,,,
1726772539.103436,103436004.000000000,1726772539.000000000,4.551543236,1.722146988,4.649676800,0.148614973,-0.067762010,0.083122008,,,,,,,,,,,,,,,
1726772539.124556,124555893.000000000,1726772539.000000000,4.592033386,1.648076534,4.687636852,0.145235986,-0.069014013,0.078968011,,,,,,,,,,,,,,,
1726772539.128743,128743263.000000000,1726772539.000000000,4.788018227,1.795650959,4.759036541,0.143962011,-0.074080005,0.072022006,,,,,,,,,,,,,,,
1726772539.132222,132222300.000000000,1726772539.000000000,4.529978275,1.648619652,5.300644875,0.129429013,-0.067201011,0.085395008,,,,,,,,,,,,,,,
1726772539.157266,157265800.000000000,1726772539.000000000,4.674035072,1.328209400,5.290901661,0.117786989,-0.070377007,0.073826000,,,,,,,,,,,,,,,
1726772539.164242,164241837.000000000,1726772539.000000000,4.673521519,1.332012653,5.162533760,0.118179999,-0.070917003,0.076934010,,,,,,,,,,,,,,,
1726772539.167330,167329671.000000000,1726772539.000000000,4.926922798,1.456133842,5.350804806,0.118650988,-0.075657010,0.079456002,,,,,,,,,,,,,,,
1726772539.185702,185702374.000000000,1726772539.000000000,4.683048248,1.240671635,5.437082291,0.109568007,-0.071006000,0.071956009,,,,,,,,,,,,,,,
1726772539.190249,190249541.000000000,1726772539.000000000,4.897768974,1.323337078,5.376841068,0.107966997,-0.075885013,0.079109013,,,,,,,,,,,,,,,
1726772539.194865,194865263.000000000,1726772539.000000000,4.907808304,1.459625244,5.018801212,0.104989991,-0.076893002,0.075432003,,,,,,,,,,,,,,,
1726772539.220062,220062430.000000000,1726772539.000000000,4.835622787,1.234200001,5.663485050,0.095514990,-0.075497016,0.072494015,,,,,,,,,,,,,,,
1726772539.225557,225557096.000000000,1726772539.000000000,4.868173599,1.236540318,5.477027893,0.094880000,-0.075444013,0.079195008,,,,,,,,,,,,,,,
1726772539.228392,228391948.000000000,1726772539.000000000,4.968451500,1.143545628,5.670147896,0.091468975,-0.077707008,0.073491007,,,,,,,,,,,,,,,
1726772539.248604,248603800.000000000,1726772539.000000000,5.027359962,1.051348686,5.761044979,0.090443991,-0.078293011,0.077277012,,,,,,,,,,,,,,,
1726772539.252811,252811041.000000000,1726772539.000000000,4.812410355,1.183321476,5.824492931,0.092828996,-0.075057000,0.075863011,,,,,,,,,,,,,,,
1726772539.256317,256317208.000000000,1726772539.000000000,4.911865234,1.124106407,5.701389313,0.091741994,-0.076204017,0.072983012,,,,,,,,,,,,,,,
1726772539.279661,279661337.000000000,1726772539.000000000,4.962298393,0.954661846,5.914091110,0.089597002,-0.078029007,0.074702010,,,,,,,,,,,,,,,
1726772539.285553,285552948.000000000,1726772539.000000000,4.812334538,0.970999718,5.728404522,0.090617977,-0.075245008,0.069243014,,,,,,,,,,,,,,,
1726772539.289366,289366263.000000000,1726772539.000000000,4.943288803,0.913297176,5.695563793,0.091023989,-0.075803012,0.068959005,,,,,,,,,,,,,,,
1726772539.309916,309916393.000000000,1726772539.000000000,4.879829884,0.613999367,6.034039021,0.090146996,-0.071485013,0.067492008,,,,,,,,,,,,,,,
1726772539.314499,314498578.000000000,1726772539.000000000,4.623330593,0.803680420,5.579695225,0.100613981,-0.066654012,0.060468003,,,,,,,,,,,,,,,
1726772539.318005,318005152.000000000,1726772539.000000000,4.643890858,0.961724281,5.438284874,0.107301980,-0.068503015,0.060041007,,,,,,,,,,,,,,,
1726772539.340897,340897374.000000000,1726772539.000000000,4.676722527,1.031488895,5.370426655,0.110893980,-0.068550013,0.056158010,,,,,,,,,,,,,,,
1726772539.344942,344942337.000000000,1726772539.000000000,4.633460045,1.064984322,5.028613567,0.111934990,-0.067434005,0.051582001,,,,,,,,,,,,,,,
1726772539.348663,348662874.000000000,1726772539.000000000,4.556926727,1.006277084,5.497744560,0.111029983,-0.065402009,0.054603003,,,,,,,,,,,,,,,
