__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z
1726770452.085638,85638155.000000000,1726770452.000000000,4.462242126,1.592366934,5.917379379,0.098751999,-0.074813008,-0.023500999
1726770452.091533,91532692.000000000,1726770452.000000000,4.359758854,1.623547077,6.016260624,0.098233990,-0.072224006,-0.020635007
1726770452.112713,112713359.000000000,1726770452.000000000,4.327595711,1.621130466,6.017936230,0.097443998,-0.072314009,-0.021856003
1726770452.116746,116745711.000000000,1726770452.000000000,4.322636604,1.629769325,5.858011246,0.098163992,-0.073316000,-0.023196999
1726770452.119966,119966229.000000000,1726770452.000000000,4.371585369,1.806279421,5.984058857,0.101235986,-0.073263004,-0.022709005
1726770452.142012,142011748.000000000,1726770452.000000000,4.345270634,1.710354805,5.982948303,0.099461988,-0.073451005,-0.021850005
1726770452.146145,146145266.000000000,1726770452.000000000,4.279159069,1.700618505,5.730966091,0.100768007,-0.071612015,-0.022300996
1726770452.149580,149579711.000000000,1726770452.000000000,4.372188091,1.549341917,6.237703323,0.096282989,-0.072193004,-0.021357009
1726770452.174687,174686970.000000000,1726770452.000000000,4.394331455,1.640800238,6.109021664,0.098377973,-0.073442005,-0.021851003
1726770452.180704,180704470.000000000,1726770452.000000000,4.338608742,1.630742550,5.702807426,0.098747000,-0.071758009,-0.019213997
1726770452.183464,183463637.000000000,1726770452.000000000,4.375460625,1.536731005,6.047195435,0.097029999,-0.071930006,-0.019079007
1726770452.204214,204214433.000000000,1726770452.000000000,4.443836212,1.488131762,6.204086304,0.095912986,-0.073477007,-0.022867005
1726770452.208519,208519211.000000000,1726770452.000000000,4.484045029,1.653829575,5.982088566,0.099607989,-0.074526004,-0.024373000
1726770452.211990,211989766.000000000,1726770452.000000000,4.443391323,1.538645029,6.075516224,0.097561985,-0.073575012,-0.020438002
1726770452.236646,236645785.000000000,1726770452.000000000,4.412292480,1.498914719,6.135545731,0.097373992,-0.073701009,-0.021637004
1726770452.243649,243649174.000000000,1726770452.000000000,4.579818249,1.546674013,5.823232651,0.098313011,-0.076138012,-0.023633005
1726770452.247101,247100692.000000000,1726770452.000000000,4.569077492,1.738808632,6.011109352,0.101026997,-0.076300010,-0.022492997
1726770452.265169,265168877.000000000,1726770452.000000000,4.419967651,1.620984554,6.229588985,0.098635986,-0.074578010,-0.020653004
1726770452.274339,274338877.000000000,1726770452.000000000,4.324356079,1.701125860,5.922156334,0.099877998,-0.071454011,-0.020283002
1726770452.298607,298607044.000000000,1726770452.000000000,4.263739586,1.624791861,6.171381950,0.098425001,-0.071589008,-0.023580005
1726770452.304461,304460859.000000000,1726770452.000000000,4.381813049,1.650548935,5.827393055,0.098646984,-0.073499009,-0.022154998
1726770452.307338,307337618.000000000,1726770452.000000000,4.397849560,1.734097719,5.922248363,0.100229003,-0.072202012,-0.017368004
1726770452.327999,327999063.000000000,1726770452.000000000,4.467394352,1.620662689,5.887090206,0.098563015,-0.074837007,-0.019914005
1726770452.332150,332150563.000000000,1726770452.000000000,4.465332031,1.697755337,5.827738762,0.099901006,-0.073936008,-0.022824001
1726770452.336246,336245877.000000000,1726770452.000000000,4.539275646,1.590537786,6.139259815,0.096820988,-0.075822011,-0.016194003
1726770452.358965,358964748.000000000,1726770452.000000000,4.467050552,1.707888842,6.230044842,0.099564977,-0.075016007,-0.016040007
1726770452.363188,363187729.000000000,1726770452.000000000,4.395816326,1.703394651,5.855884075,0.100467995,-0.072250009,-0.013912000
1726770452.366599,366599359.000000000,1726770452.000000000,4.511624336,1.560565948,6.165222168,0.098524988,-0.073760010,-0.010661012
1726770452.390079,390078674.000000000,1726770452.000000000,4.509992599,1.553664923,6.161263466,0.098492995,-0.075596005,-0.012549009
1726770452.395239,395239007.000000000,1726770452.000000000,4.550368309,1.553915262,5.916109562,0.097587004,-0.075215004,-0.010984009
1726770452.400436,400436396.000000000,1726770452.000000000,4.617525101,1.483404160,6.101433754,0.096735977,-0.075813010,-0.007045003
1726770452.421887,421886803.000000000,1726770452.000000000,4.535617352,1.520249128,6.225721836,0.098324999,-0.074468009,-0.012196006
1726770452.427118,427117600.000000000,1726770452.000000000,4.519703388,1.498828411,5.788325310,0.098090000,-0.074133009,-0.011274001
1726770452.430351,430351414.000000000,1726770452.000000000,4.671636581,1.532930851,6.066334248,0.099078991,-0.076949008,-0.012321005
1726770452.452497,452496803.000000000,1726770452.000000000,4.697173595,1.541603088,6.034535408,0.099447988,-0.077720009,-0.015396006
1726770452.457003,457002914.000000000,1726770452.000000000,4.619489670,1.379874468,5.880337238,0.096772991,-0.076120012,-0.017249003
1726770452.460226,460225637.000000000,1726770452.000000000,4.736047745,1.517680883,5.816817284,0.098802999,-0.078266002,-0.015534997
1726770452.484163,484163081.000000000,1726770452.000000000,4.709478378,1.448804379,5.974327087,0.097460970,-0.077895015,-0.017785003
1726770452.491132,491132507.000000000,1726770452.000000000,4.728292465,1.441845179,5.630794048,0.098077983,-0.077440009,-0.019086992
1726770452.494877,494877118.000000000,1726770452.000000000,4.835810661,1.391658783,6.034077644,0.097081989,-0.079679012,-0.016561002
1726770452.514009,514008525.000000000,1726770452.000000000,4.914014816,1.302670717,6.095405579,0.095597997,-0.081405006,-0.018266995
1726770452.521719,521719396.000000000,1726770452.000000000,4.788658142,1.448136091,5.628092289,0.098169997,-0.078985006,-0.016511992
1726770452.544587,544587303.000000000,1726770452.000000000,4.729239464,1.394060135,6.069089890,0.096057981,-0.078492008,-0.018830005
1726770452.548562,548561674.000000000,1726770452.000000000,4.646467686,1.476700544,5.789508820,0.097844020,-0.076431014,-0.019483006
1726770452.552647,552647303.000000000,1726770452.000000000,4.694991112,1.461668968,6.136664867,0.096201971,-0.077107012,-0.018012002
1726770452.574986,574986099.000000000,1726770452.000000000,4.486342430,1.527710676,6.134520531,0.098440990,-0.074038014,-0.019903006
1726770452.579252,579252581.000000000,1726770452.000000000,4.519429207,1.533315659,5.951184273,0.097817004,-0.074019007,-0.021259006
1726770452.582695,582695599.000000000,1726770452.000000000,4.578485489,1.466780663,6.198483944,0.097231984,-0.074973010,-0.020755012
1726770452.606319,606319451.000000000,1726770452.000000000,4.549262524,1.532447815,6.171250343,0.098168999,-0.073289007,-0.021618005
1726770452.611044,611043581.000000000,1726770452.000000000,4.422132492,1.637853384,5.764983654,0.101286992,-0.069960006,-0.021210004
1726770452.614394,614394211.000000000,1726770452.000000000,4.555519581,1.652747869,6.141503334,0.101215988,-0.071097009,-0.019882997
1726770452.638633,638633581.000000000,1726770452.000000000,4.431848526,1.546895742,6.111195564,0.099584013,-0.068920001,-0.020220010
1726770452.645588,645587822.000000000,1726770452.000000000,4.434059143,1.524088860,5.829208851,0.101003997,-0.067389011,-0.023048008
1726770452.649777,649777377.000000000,1726770452.000000000,4.528005600,1.639067888,5.955673695,0.101905003,-0.068671003,-0.018633001
1726770452.668280,668279822.000000000,1726770452.000000000,4.537676334,1.589826822,6.076141357,0.101847976,-0.069659010,-0.019143999
1726770452.672880,672879692.000000000,1726770452.000000000,4.448402405,1.558174372,5.924582481,0.101298012,-0.066522002,-0.018609999
1726770452.676479,676479229.000000000,1726770452.000000000,4.502775669,1.584801197,5.735139370,0.103209004,-0.066369005,-0.019917002
1726770452.699947,699947433.000000000,1726770452.000000000,4.507461548,1.585464239,5.993300438,0.102494992,-0.064392008,-0.023390004
1726770452.704902,704902248.000000000,1726770452.000000000,4.469941139,1.520374298,5.739520550,0.103970990,-0.062464006,-0.025692008
1726770452.708083,708082896.000000000,1726770452.000000000,4.568946362,1.543305874,6.050194263,0.105304971,-0.062880009,-0.024503998
1726770452.729594,729594155.000000000,1726770452.000000000,4.426490307,1.634074211,6.053850174,0.107750982,-0.058657005,-0.027246013
1726770452.733860,733859710.000000000,1726770452.000000000,4.466051102,1.588703156,5.866408825,0.108115003,-0.057883009,-0.028382011
1726770452.738441,738440803.000000000,1726770452.000000000,4.601599216,1.551829576,6.021527767,0.108633995,-0.058347009,-0.027499000
1726770452.763490,763490155.000000000,1726770452.000000000,4.506379128,1.471420765,6.113311768,0.109979980,-0.054206006,-0.027791003
1726770452.772177,772177433.000000000,1726770452.000000000,4.566432476,1.567945957,5.987361908,0.115093008,-0.050466008,-0.026317000
1726770452.792005,792004710.000000000,1726770452.000000000,4.527102470,1.628781319,6.020401955,0.116960973,-0.047754005,-0.024593990
